Index	Date	Time	[uSec]	Freq	Code	Signal	Latitude	Longitude
1562	6/23/2022	19:25:53	234000	150.4	90	84	63.05459	-145.99889
1563	6/23/2022	19:25:54	163429	150.4	42	96	63.05479	-145.99919
1564	6/23/2022	19:25:54	508720	150.4	44	113	63.05499	-145.99949
1565	6/23/2022	19:25:56	25461	150.4	45	97	63.05519	-145.9998
1566	6/23/2022	19:25:59	163536	150.4	42	153	63.05576	-146.00085
1567	6/23/2022	19:25:59	509019	150.4	44	143	63.05595	-146.00122
1568	6/23/2022	19:25:59	740987	150.4	41	96	63.05595	-146.00122
1569	6/23/2022	19:26:01	24251	150.4	45	144	63.05614	-146.0016
1570	6/23/2022	19:26:01	231088	150.4	85	107	63.05633	-146.00196
1571	6/23/2022	19:26:03	235259	150.4	90	85	63.05652	-146.00232
1572	6/23/2022	19:26:04	164293	150.4	42	161	63.05671	-146.00268
1573	6/23/2022	19:26:04	509973	150.4	44	111	63.05689	-146.00303
1574	6/23/2022	19:26:06	23525	150.4	45	160	63.05707	-146.00338
1575	6/23/2022	19:26:09	164971	150.4	42	126	63.05754	-146.00456
1576	6/23/2022	19:26:09	510677	150.4	44	95	63.05766	-146.00505
1577	6/23/2022	19:26:14	167008	150.4	42	82	63.05771	-146.00744
1578	6/23/2022	19:26:18	236507	150.4	90	95	63.05698	-146.00951
1579	6/23/2022	19:26:19	743184	150.4	41	104	63.05641	-146.01
1580	6/23/2022	19:26:21	233387	150.4	85	103	63.05578	-146.01001
1581	6/23/2022	19:26:23	236053	150.4	90	115	63.05549	-146.00985
1582	6/23/2022	19:26:24	743579	150.4	41	148	63.05496	-146.00919
1583	6/23/2022	19:26:25	835184	150.4	47	84	63.05476	-146.00874
1584	6/23/2022	19:26:26	20736	150.4	45	100	63.05476	-146.00874
1585	6/23/2022	19:26:26	233691	150.4	85	127	63.0546	-146.00823
1586	6/23/2022	19:26:28	236709	150.4	90	126	63.05449	-146.00768
